Extrayendo histogramas segmentados para 9060 genomas...
INFO: Extracting segmented histograms (Hierarchical BiGRU)
INFO: Parallel hierarchical extraction: 9060 genomes, 25 workers
INFO: [10/9060] Segmented histograms extracted: 1280.15872
INFO: [20/9060] Segmented histograms extracted: 1280.15890
INFO: [30/9060] Segmented histograms extracted: 1280.15895
INFO: [40/9060] Segmented histograms extracted: 1280.15904
INFO: [50/9060] Segmented histograms extracted: 1280.15901
INFO: [60/9060] Segmented histograms extracted: 1280.15927
INFO: [70/9060] Segmented histograms extracted: 1280.15930
INFO: [80/9060] Segmented histograms extracted: 1280.16385
INFO: [90/9060] Segmented histograms extracted: 1280.16568
INFO: [100/9060] Segmented histograms extracted: 1280.16759
INFO: [110/9060] Segmented histograms extracted: 1280.17671
INFO: [120/9060] Segmented histograms extracted: 1280.24771
INFO: [130/9060] Segmented histograms extracted: 1280.24773
INFO: [140/9060] Segmented histograms extracted: 1280.24780
INFO: [150/9060] Segmented histograms extracted: 1280.24801
INFO: [160/9060] Segmented histograms extracted: 1280.24804
INFO: [170/9060] Segmented histograms extracted: 1280.24809
INFO: [180/9060] Segmented histograms extracted: 1280.24836
INFO: [190/9060] Segmented histograms extracted: 1280.24833
INFO: [200/9060] Segmented histograms extracted: 1280.24842
INFO: [210/9060] Segmented histograms extracted: 1280.24852
INFO: [220/9060] Segmented histograms extracted: 1280.24872
INFO: [230/9060] Segmented histograms extracted: 1280.24873
INFO: [240/9060] Segmented histograms extracted: 1280.24895
INFO: [250/9060] Segmented histograms extracted: 1280.24890
INFO: [260/9060] Segmented histograms extracted: 1280.24913
INFO: [270/9060] Segmented histograms extracted: 1280.24918
INFO: [280/9060] Segmented histograms extracted: 1280.24934
INFO: [290/9060] Segmented histograms extracted: 1280.24941
INFO: [300/9060] Segmented histograms extracted: 1280.24951
INFO: [310/9060] Segmented histograms extracted: 1280.24949
INFO: [320/9060] Segmented histograms extracted: 1280.24963
INFO: [330/9060] Segmented histograms extracted: 1280.24987
INFO: [340/9060] Segmented histograms extracted: 1280.24984
INFO: [350/9060] Segmented histograms extracted: 1280.25005
INFO: [360/9060] Segmented histograms extracted: 1280.25002
INFO: [370/9060] Segmented histograms extracted: 1280.25019
INFO: [380/9060] Segmented histograms extracted: 1280.25037
INFO: [390/9060] Segmented histograms extracted: 1280.25046
INFO: [400/9060] Segmented histograms extracted: 1280.25051
INFO: [410/9060] Segmented histograms extracted: 1280.25054
INFO: [420/9060] Segmented histograms extracted: 1280.25059
INFO: [430/9060] Segmented histograms extracted: 1280.25086
INFO: [440/9060] Segmented histograms extracted: 1280.25095
INFO: [450/9060] Segmented histograms extracted: 1280.25098
INFO: [460/9060] Segmented histograms extracted: 1280.25112
INFO: [470/9060] Segmented histograms extracted: 1280.25125
INFO: [480/9060] Segmented histograms extracted: 1280.25126
INFO: [490/9060] Segmented histograms extracted: 1280.25136
INFO: [500/9060] Segmented histograms extracted: 1280.25150
INFO: [510/9060] Segmented histograms extracted: 1280.25154
INFO: [520/9060] Segmented histograms extracted: 1280.25975
INFO: [530/9060] Segmented histograms extracted: 1280.25174
INFO: [540/9060] Segmented histograms extracted: 1280.25991
INFO: [550/9060] Segmented histograms extracted: 1280.25990
INFO: [560/9060] Segmented histograms extracted: 1280.26000
INFO: [570/9060] Segmented histograms extracted: 1280.26017
INFO: [580/9060] Segmented histograms extracted: 1280.26024
INFO: [590/9060] Segmented histograms extracted: 1280.26028
INFO: [600/9060] Segmented histograms extracted: 1280.26037
INFO: [610/9060] Segmented histograms extracted: 1280.26054
INFO: [620/9060] Segmented histograms extracted: 1280.26069
INFO: [630/9060] Segmented histograms extracted: 1280.51745
INFO: [640/9060] Segmented histograms extracted: 1280.51764
INFO: [650/9060] Segmented histograms extracted: 1280.51767
INFO: [660/9060] Segmented histograms extracted: 1280.51786
INFO: [670/9060] Segmented histograms extracted: 1280.51801
INFO: [680/9060] Segmented histograms extracted: 1280.51799
INFO: [690/9060] Segmented histograms extracted: 1280.51808
INFO: [700/9060] Segmented histograms extracted: 1280.51832
INFO: [710/9060] Segmented histograms extracted: 1280.51828
INFO: [720/9060] Segmented histograms extracted: 1280.51846
INFO: [730/9060] Segmented histograms extracted: 1280.51849
INFO: [740/9060] Segmented histograms extracted: 1280.51863
INFO: [750/9060] Segmented histograms extracted: 1280.51886
INFO: [760/9060] Segmented histograms extracted: 1280.51902
INFO: [770/9060] Segmented histograms extracted: 1280.51899
INFO: [780/9060] Segmented histograms extracted: 1280.51904
INFO: [790/9060] Segmented histograms extracted: 1280.51934
INFO: [800/9060] Segmented histograms extracted: 1280.51929
INFO: [810/9060] Segmented histograms extracted: 1280.51939
INFO: [820/9060] Segmented histograms extracted: 1280.7281
INFO: [830/9060] Segmented histograms extracted: 1280.7283
INFO: [840/9060] Segmented histograms extracted: 1280.7299
INFO: [850/9060] Segmented histograms extracted: 1280.7303
INFO: [860/9060] Segmented histograms extracted: 1280.7326
INFO: [870/9060] Segmented histograms extracted: 1280.7334
INFO: [880/9060] Segmented histograms extracted: 1280.8845
INFO: [890/9060] Segmented histograms extracted: 1280.7375
INFO: [900/9060] Segmented histograms extracted: 1280.9205
INFO: [910/9060] Segmented histograms extracted: 1280.9213
INFO: [920/9060] Segmented histograms extracted: 1280.9225
INFO: [930/9060] Segmented histograms extracted: 1280.9231
INFO: [940/9060] Segmented histograms extracted: 1280.9237
INFO: [950/9060] Segmented histograms extracted: 1280.9242
INFO: [960/9060] Segmented histograms extracted: 1280.9261
INFO: [970/9060] Segmented histograms extracted: 1280.9275
INFO: [980/9060] Segmented histograms extracted: 1280.9283
INFO: [990/9060] Segmented histograms extracted: 1280.9298
INFO: [1000/9060] Segmented histograms extracted: 1280.9290
INFO: [1010/9060] Segmented histograms extracted: 1280.9305
INFO: [1020/9060] Segmented histograms extracted: 1280.9326
INFO: [1030/9060] Segmented histograms extracted: 1280.9323
INFO: [1040/9060] Segmented histograms extracted: 1280.9342
INFO: [1050/9060] Segmented histograms extracted: 1280.9344
INFO: [1060/9060] Segmented histograms extracted: 1280.9367
INFO: [1070/9060] Segmented histograms extracted: 1280.9366
INFO: [1080/9060] Segmented histograms extracted: 1280.9377
INFO: [1090/9060] Segmented histograms extracted: 1352.10003
INFO: [1100/9060] Segmented histograms extracted: 1352.10007
INFO: [1110/9060] Segmented histograms extracted: 1352.10001
INFO: [1120/9060] Segmented histograms extracted: 1352.10018
INFO: [1130/9060] Segmented histograms extracted: 1352.10034
INFO: [1140/9060] Segmented histograms extracted: 1352.10050
INFO: [1150/9060] Segmented histograms extracted: 1352.10047
INFO: [1160/9060] Segmented histograms extracted: 1352.10065
INFO: [1170/9060] Segmented histograms extracted: 1352.10081
INFO: [1180/9060] Segmented histograms extracted: 1352.10092
INFO: [1190/9060] Segmented histograms extracted: 1352.10089
INFO: [1200/9060] Segmented histograms extracted: 1352.10109
INFO: [1210/9060] Segmented histograms extracted: 1352.10102
INFO: [1220/9060] Segmented histograms extracted: 1352.10121
INFO: [1230/9060] Segmented histograms extracted: 1352.10123
INFO: [1240/9060] Segmented histograms extracted: 1352.10144
INFO: [1250/9060] Segmented histograms extracted: 1352.10156
INFO: [1260/9060] Segmented histograms extracted: 1352.10163
INFO: [1270/9060] Segmented histograms extracted: 1352.10161
INFO: [1280/9060] Segmented histograms extracted: 1352.10186
INFO: [1290/9060] Segmented histograms extracted: 1352.10191
INFO: [1300/9060] Segmented histograms extracted: 1352.10195
INFO: [1310/9060] Segmented histograms extracted: 1352.10208
INFO: [1320/9060] Segmented histograms extracted: 1352.10216
INFO: [1330/9060] Segmented histograms extracted: 1352.10228
INFO: [1340/9060] Segmented histograms extracted: 1352.10235
INFO: [1350/9060] Segmented histograms extracted: 1352.10244
INFO: [1360/9060] Segmented histograms extracted: 1352.10270
INFO: [1370/9060] Segmented histograms extracted: 1352.10264
INFO: [1380/9060] Segmented histograms extracted: 1352.10280
INFO: [1390/9060] Segmented histograms extracted: 1352.10287
INFO: [1400/9060] Segmented histograms extracted: 1352.10300
INFO: [1410/9060] Segmented histograms extracted: 1352.10315
INFO: [1420/9060] Segmented histograms extracted: 1352.10325
INFO: [1430/9060] Segmented histograms extracted: 1352.10330
INFO: [1440/9060] Segmented histograms extracted: 1352.10341
INFO: [1450/9060] Segmented histograms extracted: 1352.10343
INFO: [1460/9060] Segmented histograms extracted: 1352.10364
INFO: [1470/9060] Segmented histograms extracted: 1352.10370
INFO: [1480/9060] Segmented histograms extracted: 1352.10395
INFO: [1490/9060] Segmented histograms extracted: 1352.10399
INFO: [1500/9060] Segmented histograms extracted: 1352.10397
INFO: [1510/9060] Segmented histograms extracted: 1352.10404
INFO: [1520/9060] Segmented histograms extracted: 1352.10421
INFO: [1530/9060] Segmented histograms extracted: 1352.10424
INFO: [1540/9060] Segmented histograms extracted: 1352.10439
INFO: [1550/9060] Segmented histograms extracted: 1352.10449
INFO: [1560/9060] Segmented histograms extracted: 1352.10458
INFO: [1570/9060] Segmented histograms extracted: 1352.10479
INFO: [1580/9060] Segmented histograms extracted: 1352.10478
INFO: [1590/9060] Segmented histograms extracted: 1352.10492
INFO: [1600/9060] Segmented histograms extracted: 1352.10515
INFO: [1610/9060] Segmented histograms extracted: 1352.10501
INFO: [1620/9060] Segmented histograms extracted: 1352.10527
INFO: [1630/9060] Segmented histograms extracted: 1352.10534
INFO: [1640/9060] Segmented histograms extracted: 1352.10533
INFO: [1650/9060] Segmented histograms extracted: 1352.10561
INFO: [1660/9060] Segmented histograms extracted: 1352.10556
INFO: [1670/9060] Segmented histograms extracted: 1352.10584
INFO: [1680/9060] Segmented histograms extracted: 1352.10594
INFO: [1690/9060] Segmented histograms extracted: 1352.10606
INFO: [1700/9060] Segmented histograms extracted: 1352.10615
INFO: [1710/9060] Segmented histograms extracted: 1352.10597
INFO: [1720/9060] Segmented histograms extracted: 1352.10626
INFO: [1730/9060] Segmented histograms extracted: 1352.10644
INFO: [1740/9060] Segmented histograms extracted: 1352.10639
INFO: [1750/9060] Segmented histograms extracted: 1352.11261
INFO: [1760/9060] Segmented histograms extracted: 1352.11270
INFO: [1770/9060] Segmented histograms extracted: 1352.11269
INFO: [1780/9060] Segmented histograms extracted: 1352.11290
INFO: [1790/9060] Segmented histograms extracted: 1352.11288
INFO: [1800/9060] Segmented histograms extracted: 1352.11314
INFO: [1810/9060] Segmented histograms extracted: 1352.11336
INFO: [1820/9060] Segmented histograms extracted: 1352.11341
INFO: [1830/9060] Segmented histograms extracted: 1352.11357
INFO: [1840/9060] Segmented histograms extracted: 1352.11383
INFO: [1850/9060] Segmented histograms extracted: 1352.11381
INFO: [1860/9060] Segmented histograms extracted: 1352.11405
INFO: [1870/9060] Segmented histograms extracted: 1352.11415
INFO: [1880/9060] Segmented histograms extracted: 1352.11436
INFO: [1890/9060] Segmented histograms extracted: 1352.11431
INFO: [1900/9060] Segmented histograms extracted: 1352.11441
INFO: [1910/9060] Segmented histograms extracted: 1352.11470
INFO: [1920/9060] Segmented histograms extracted: 1352.11477
INFO: [1930/9060] Segmented histograms extracted: 1352.11494
INFO: [1940/9060] Segmented histograms extracted: 1352.11519
INFO: [1950/9060] Segmented histograms extracted: 1352.11510
INFO: [1960/9060] Segmented histograms extracted: 1352.11528
INFO: [1970/9060] Segmented histograms extracted: 1352.11548
INFO: [1980/9060] Segmented histograms extracted: 1352.11549
INFO: [1990/9060] Segmented histograms extracted: 1352.11574
INFO: [2000/9060] Segmented histograms extracted: 1352.11575
INFO: [2010/9060] Segmented histograms extracted: 1352.11587
INFO: [2020/9060] Segmented histograms extracted: 1352.11627
INFO: [2030/9060] Segmented histograms extracted: 1352.11628
INFO: [2040/9060] Segmented histograms extracted: 1352.11653
INFO: [2050/9060] Segmented histograms extracted: 1352.11681
INFO: [2060/9060] Segmented histograms extracted: 1352.11688
INFO: [2070/9060] Segmented histograms extracted: 1352.11690
INFO: [2080/9060] Segmented histograms extracted: 1352.11704
INFO: [2090/9060] Segmented histograms extracted: 1352.11725
INFO: [2100/9060] Segmented histograms extracted: 1352.11731
INFO: [2110/9060] Segmented histograms extracted: 1352.11738
INFO: [2120/9060] Segmented histograms extracted: 1352.11770
INFO: [2130/9060] Segmented histograms extracted: 1352.11783
INFO: [2140/9060] Segmented histograms extracted: 1352.11789
INFO: [2150/9060] Segmented histograms extracted: 1352.11806
INFO: [2160/9060] Segmented histograms extracted: 1352.11813
INFO: [2170/9060] Segmented histograms extracted: 1352.11829
INFO: [2180/9060] Segmented histograms extracted: 1352.11841
INFO: [2190/9060] Segmented histograms extracted: 1352.11854
INFO: [2200/9060] Segmented histograms extracted: 1352.11857
INFO: [2210/9060] Segmented histograms extracted: 1352.11880
INFO: [2220/9060] Segmented histograms extracted: 1352.11897
INFO: [2230/9060] Segmented histograms extracted: 1352.11894
INFO: [2240/9060] Segmented histograms extracted: 1352.11901
INFO: [2250/9060] Segmented histograms extracted: 1352.11935
INFO: [2260/9060] Segmented histograms extracted: 1352.11937
INFO: [2270/9060] Segmented histograms extracted: 1352.11952
INFO: [2280/9060] Segmented histograms extracted: 1352.11976
INFO: [2290/9060] Segmented histograms extracted: 1352.11977
INFO: [2300/9060] Segmented histograms extracted: 1352.11988
INFO: [2310/9060] Segmented histograms extracted: 1352.12012
INFO: [2320/9060] Segmented histograms extracted: 1352.12025
INFO: [2330/9060] Segmented histograms extracted: 1352.1467
INFO: [2340/9060] Segmented histograms extracted: 1352.1478
INFO: [2350/9060] Segmented histograms extracted: 1352.1479
INFO: [2360/9060] Segmented histograms extracted: 1352.1474
INFO: [2370/9060] Segmented histograms extracted: 1352.1505
INFO: [2380/9060] Segmented histograms extracted: 1352.1489
INFO: [2390/9060] Segmented histograms extracted: 1352.1535
INFO: [2400/9060] Segmented histograms extracted: 1352.1537
INFO: [2410/9060] Segmented histograms extracted: 1352.1550
INFO: [2420/9060] Segmented histograms extracted: 1352.1553
INFO: [2430/9060] Segmented histograms extracted: 1352.1572
INFO: [2440/9060] Segmented histograms extracted: 1352.1569
INFO: [2450/9060] Segmented histograms extracted: 1352.1583
INFO: [2460/9060] Segmented histograms extracted: 1352.1774
INFO: [2470/9060] Segmented histograms extracted: 1352.1785
INFO: [2480/9060] Segmented histograms extracted: 1352.1792
INFO: [2490/9060] Segmented histograms extracted: 1352.1799
INFO: [2500/9060] Segmented histograms extracted: 1352.18064
INFO: [2510/9060] Segmented histograms extracted: 1352.18077
INFO: [2520/9060] Segmented histograms extracted: 1352.1822
INFO: [2530/9060] Segmented histograms extracted: 1352.1828
INFO: [2540/9060] Segmented histograms extracted: 1352.1830
INFO: [2550/9060] Segmented histograms extracted: 1352.1848
INFO: [2560/9060] Segmented histograms extracted: 1352.1854
INFO: [2570/9060] Segmented histograms extracted: 1352.1855
INFO: [2580/9060] Segmented histograms extracted: 1352.1869
INFO: [2590/9060] Segmented histograms extracted: 1352.1895
INFO: [2600/9060] Segmented histograms extracted: 1352.1885
INFO: [2610/9060] Segmented histograms extracted: 1352.1904
INFO: [2620/9060] Segmented histograms extracted: 1352.1916
INFO: [2630/9060] Segmented histograms extracted: 1352.1932
INFO: [2640/9060] Segmented histograms extracted: 1352.7848
INFO: [2650/9060] Segmented histograms extracted: 1352.7850
INFO: [2660/9060] Segmented histograms extracted: 1352.7860
INFO: [2670/9060] Segmented histograms extracted: 1352.7874
INFO: [2680/9060] Segmented histograms extracted: 1352.7889
INFO: [2690/9060] Segmented histograms extracted: 1352.7888
INFO: [2700/9060] Segmented histograms extracted: 1352.9237
INFO: [2710/9060] Segmented histograms extracted: 1352.9257
INFO: [2720/9060] Segmented histograms extracted: 1352.9269
INFO: [2730/9060] Segmented histograms extracted: 1352.9264
INFO: [2740/9060] Segmented histograms extracted: 1352.9288
INFO: [2750/9060] Segmented histograms extracted: 1352.9287
INFO: [2760/9060] Segmented histograms extracted: 1352.9304
INFO: [2770/9060] Segmented histograms extracted: 1352.9316
INFO: [2780/9060] Segmented histograms extracted: 1352.9326
INFO: [2790/9060] Segmented histograms extracted: 1352.9332
INFO: [2800/9060] Segmented histograms extracted: 1352.9348
INFO: [2810/9060] Segmented histograms extracted: 1352.9350
INFO: [2820/9060] Segmented histograms extracted: 1352.9363
INFO: [2830/9060] Segmented histograms extracted: 1352.9367
INFO: [2840/9060] Segmented histograms extracted: 1352.9386
INFO: [2850/9060] Segmented histograms extracted: 1352.9385
INFO: [2860/9060] Segmented histograms extracted: 1352.9409
INFO: [2870/9060] Segmented histograms extracted: 1352.9419
INFO: [2880/9060] Segmented histograms extracted: 1352.9423
INFO: [2890/9060] Segmented histograms extracted: 1352.9429
INFO: [2900/9060] Segmented histograms extracted: 1352.9451
INFO: [2910/9060] Segmented histograms extracted: 1352.9447
INFO: [2920/9060] Segmented histograms extracted: 1352.9458
INFO: [2930/9060] Segmented histograms extracted: 1352.9475
INFO: [2940/9060] Segmented histograms extracted: 1352.9469
INFO: [2950/9060] Segmented histograms extracted: 1352.9494
INFO: [2960/9060] Segmented histograms extracted: 1352.9492
INFO: [2970/9060] Segmented histograms extracted: 1352.9507
INFO: [2980/9060] Segmented histograms extracted: 1352.9512
INFO: [2990/9060] Segmented histograms extracted: 1352.9535
INFO: [3000/9060] Segmented histograms extracted: 1352.9541
INFO: [3010/9060] Segmented histograms extracted: 1352.9548
INFO: [3020/9060] Segmented histograms extracted: 1352.9565
INFO: [3030/9060] Segmented histograms extracted: 1352.9572
INFO: [3040/9060] Segmented histograms extracted: 1352.9582
INFO: [3050/9060] Segmented histograms extracted: 1352.9599
INFO: [3060/9060] Segmented histograms extracted: 1352.9607
INFO: [3070/9060] Segmented histograms extracted: 1352.9609
INFO: [3080/9060] Segmented histograms extracted: 1352.9612
INFO: [3090/9060] Segmented histograms extracted: 1352.9637
INFO: [3100/9060] Segmented histograms extracted: 1352.9639
INFO: [3110/9060] Segmented histograms extracted: 1352.9650
INFO: [3120/9060] Segmented histograms extracted: 1352.9667
INFO: [3130/9060] Segmented histograms extracted: 1352.9675
INFO: [3140/9060] Segmented histograms extracted: 1352.9690
INFO: [3150/9060] Segmented histograms extracted: 1352.9697
INFO: [3160/9060] Segmented histograms extracted: 1352.9701
INFO: [3170/9060] Segmented histograms extracted: 1352.9708
INFO: [3180/9060] Segmented histograms extracted: 1352.9724
INFO: [3190/9060] Segmented histograms extracted: 1352.9732
INFO: [3200/9060] Segmented histograms extracted: 1352.9734
INFO: [3210/9060] Segmented histograms extracted: 1352.9751
INFO: [3220/9060] Segmented histograms extracted: 1352.9761
INFO: [3230/9060] Segmented histograms extracted: 1352.9770
INFO: [3240/9060] Segmented histograms extracted: 1352.9765
INFO: [3250/9060] Segmented histograms extracted: 1352.9784
INFO: [3260/9060] Segmented histograms extracted: 1352.9806
INFO: [3270/9060] Segmented histograms extracted: 1352.9810
INFO: [3280/9060] Segmented histograms extracted: 1352.9828
INFO: [3290/9060] Segmented histograms extracted: 1352.9840
INFO: [3300/9060] Segmented histograms extracted: 1352.9839
INFO: [3310/9060] Segmented histograms extracted: 1352.9847
INFO: [3320/9060] Segmented histograms extracted: 1352.9853
INFO: [3330/9060] Segmented histograms extracted: 1352.9868
INFO: [3340/9060] Segmented histograms extracted: 1352.9877
INFO: [3350/9060] Segmented histograms extracted: 1352.9885
INFO: [3360/9060] Segmented histograms extracted: 1352.9910
INFO: [3370/9060] Segmented histograms extracted: 1352.9912
INFO: [3380/9060] Segmented histograms extracted: 1352.9917
INFO: [3390/9060] Segmented histograms extracted: 1352.9924
INFO: [3400/9060] Segmented histograms extracted: 1352.9943
INFO: [3410/9060] Segmented histograms extracted: 1352.9959
INFO: [3420/9060] Segmented histograms extracted: 1352.9935
INFO: [3430/9060] Segmented histograms extracted: 1352.9964
